date,AGG,EEM,IJS,SPY,TLT,UUP,VNQ
2008-04-25,507900,36429900,108200,190788100,1742000,924800,454400
2008-04-28,513500,28076100,85700,105610200,1883900,1325200,699600
2008-04-29,697500,43114200,78500,125514100,1269100,2241800,806100
2008-04-30,813300,56735100,310700,208395900,2827500,3543000,629600
2008-05-01,503200,36340500,141600,187279500,3226500,2696800,780200
2008-05-02,462100,36100200,137700,181585500,2730800,2295700,1311800
2008-05-05,541600,22732500,45400,118504500,1309300,797000,295500
2008-05-06,930100,36007500,108700,179339800,4037500,1646800,336800
2008-05-07,299200,52249200,93900,199267300,3876200,1196300,496200
2008-05-08,731300,34318500,128700,178321200,2829500,808000,419100
2008-05-09,433600,33387000,150200,152588200,2064300,586000,342300
2008-05-12,579400,31889100,125000,147865900,1947400,655500,287700
2008-05-13,482700,24984000,54900,159132200,2123300,511200,307100
2008-05-14,292000,27882000,66900,181910800,2600900,837400,297000
2008-05-15,350600,41979600,97400,166927000,2164300,538200,415000
2008-05-16,387200,30127200,118700,204236800,1902600,886700,323800
2008-05-19,630400,45427200,243200,165664400,1348200,750200,256700
2008-05-20,670700,44971500,209500,178552100,1466000,770400,1419600
2008-05-21,540800,47546700,338500,252724800,1762100,571700,3444000
2008-05-22,509300,26301300,292300,170820400,2855900,339100,3545600
2008-05-23,584000,31783500,171600,181376400,1802000,255500,311300
2008-05-27,865300,35205600,169600,168322900,1985800,476300,370600
2008-05-28,371500,31076400,168800,181288100,3250700,331400,199800
2008-05-29,621300,36030300,180200,173927200,3302400,835300,726700
2008-05-30,1132500,29933400,124000,117362000,2514600,571300,304700
2008-06-02,601800,39888600,110700,181069900,3076400,238200,338500
2008-06-03,476200,44795100,161200,271965700,2447700,725600,410000
2008-06-04,390900,46607100,161100,246637700,2813000,606500,323800
2008-06-05,378000,36879600,78800,237867100,2632200,1365200,218100
2008-06-06,434800,48717600,128100,384276300,3864800,664300,595100
2008-06-09,555500,49329300,147900,228263900,1812000,338500,412100
2008-06-10,557200,67029600,126300,260234900,1935300,760700,378600
2008-06-11,508600,72144300,125200,283890100,2265400,589800,269600
2008-06-12,513700,59169900,107000,252791800,4413100,854800,335700
2008-06-13,799000,42621000,60400,244726900,1983600,1118800,301900
2008-06-16,460400,34441200,264900,185832500,1756800,570800,256900
2008-06-17,407200,38012100,94000,191707700,1712200,278500,232400
2008-06-18,345900,48612300,138300,265893000,2590000,387100,229400
2008-06-19,435900,52999500,63500,304204900,1700500,299500,792100
2008-06-20,419000,94397400,102100,289275700,4580900,350700,271400
2008-06-23,515600,50194200,94800,165096400,1594100,379200,271800
2008-06-24,514300,55306800,201300,267300600,3118400,770400,964300
2008-06-25,487100,64861200,126200,287853900,3251600,490800,1119900
2008-06-26,540200,69863700,225300,297775000,4052300,755400,476900
2008-06-27,466000,54488400,68800,303423400,4144800,445300,1234000
2008-06-30,639600,52705800,150700,258842600,3743000,359900,1266500
2008-07-01,854500,88602600,229400,388622000,3805100,331700,2001800
2008-07-02,812400,77359500,108600,288064600,2413700,198000,2487500
2008-07-03,281300,51487800,105700,239352500,1405100,256900,2056800
2008-07-07,603100,84791100,133500,372427300,3528400,445400,2200300
2008-07-08,327300,91546200,205000,375973700,2176600,267900,4736200
2008-07-09,392000,89474400,189700,336729400,1582000,227600,2749200
2008-07-10,577200,82659300,104800,436475700,2723600,295300,2237100
2008-07-11,478200,74596200,227200,481124600,5466000,883400,4163200
2008-07-14,366000,48638400,126300,322720800,4135400,665700,3855400
2008-07-15,433400,108376500,229200,502502500,4541400,1314400,6946000
2008-07-16,487400,72721800,185100,371642900,3435900,357000,4768500
2008-07-17,503300,88662300,225600,375490600,5899900,415100,8110000
2008-07-18,438400,50926800,130100,267030100,3475200,319600,4488700
2008-07-21,317500,42357300,205500,222863000,3657200,117400,3129700
2008-07-22,302900,47977800,150000,296904200,2675200,272100,6480900
2008-07-23,405700,142368000,181500,311698400,2871900,291500,5532900
2008-07-24,320200,33791200,219800,248634500,2613300,216100,2615400
2008-07-25,394300,26549400,135200,219131000,3765300,144200,4093000
2008-07-28,458500,22918200,83000,205201300,1275900,159300,1083800
2008-07-29,279200,28970800,114300,261505600,1349100,465600,2094600
2008-07-30,403800,38187600,90200,354710000,1667500,457000,4018500
2008-07-31,559600,65916000,193900,277402100,3898700,201500,2728100
2008-08-01,331500,36367800,251700,248690900,1804800,412300,3156300
2008-08-04,391600,55599400,230400,188239600,2029900,170100,3286600
2008-08-05,489500,42552600,119800,251577600,2191200,922400,2620900
2008-08-06,463000,34367700,248600,209555400,3139500,957900,2221000
2008-08-07,391300,38381200,96200,246312500,2765600,1697100,2783500
2008-08-08,359600,51194100,327500,260811700,1035400,2911000,2850800
2008-08-11,460700,43444700,146500,249425800,3939400,2393100,5189800
2008-08-12,392600,39537600,202800,213200800,1315000,1078400,4389300
2008-08-13,301000,52150600,391400,256393200,1940300,1106600,4023000
2008-08-14,417900,34218600,133000,239555300,2605300,969500,4712900
2008-08-15,333200,37679300,146200,181000800,1964900,1891900,2975400
2008-08-18,526500,34649700,173500,172275100,1262200,1111500,3402800
2008-08-19,284400,58501700,132000,194673700,1944700,899500,4193500
2008-08-20,277400,39617100,145700,225498200,2500000,570300,4381400
2008-08-21,361800,26882500,124100,180609800,2267000,985000,3852600
2008-08-22,497800,19299700,135900,167715300,1990000,703400,2729600
2008-08-25,267900,30942400,1222400,171936900,2028300,492500,1789900
2008-08-26,634400,25493200,119800,159117200,1270900,1442900,2080500
2008-08-27,334400,31425700,116400,171032800,1555300,1064500,1627200
2008-08-28,372600,29213700,172200,167537100,1886500,977500,1363600
2008-08-29,701500,26262300,131400,189195800,1739100,557400,1347300
2008-09-02,1275500,43801700,463100,252364900,2916000,4217400,2444100
2008-09-03,419800,58412400,492600,251947000,2105000,2612800,2689600
2008-09-04,338800,70453100,169200,340042500,3049800,2249100,2620000
2008-09-05,667100,58892600,113500,289503400,4167800,2403800,3785300
2008-09-08,873300,64826300,207700,364075300,5426200,3389300,3510900
2008-09-09,540400,71020700,136600,377326800,3890200,2818700,3092300
2008-09-10,515400,74811000,99200,298916600,2407900,1179600,3161300
2008-09-11,371800,103649900,249400,375369400,3592000,1997400,4225200
2008-09-12,514800,83241400,137100,297851200,4138200,2134700,2567500
2008-09-15,386900,108168400,317800,483607000,5889900,3414700,6087100
2008-09-16,676000,115788300,652300,581744300,6684400,1613200,5486600
2008-09-17,707900,153448700,300800,624095600,4371300,1605500,4194600
2008-09-18,1016900,155272500,406400,776114700,4188300,2039600,6149500
2008-09-19,1985000,157949600,180700,501087800,7169200,2924700,2369000
2008-09-22,1719500,112364700,237500,249966500,4726300,6980400,1726000
2008-09-23,435500,75596800,248900,327470400,2236000,1320600,2495000
2008-09-24,2371500,64728700,63300,311818400,1014900,646400,3085200
